close,high,low,open,tic,trade_count,volume,vwap
419.99,420.14,416.72,418.78,SPY,476084.0,70131594.0,418.225913
419.99,424.95,419.21,422.99,SPY,444588.0,60543614.0,421.563894
427.1,427.21,421.03,422.03,SPY,396399.0,62922310.0,424.593592
428.86,429.41,424.71,424.765,SPY,375076.0,54947334.0,427.645206
429.7,431.73,426.88,427.73,SPY,411678.0,60027042.0,429.308533
426.65,429.5,424.54,425.91,SPY,453976.0,64678140.0,426.959599
427.89,428.61,425.5,426.86,SPY,332726.0,49133661.0,427.150883
422.14,425.26,421.22,424.98,SPY,437150.0,69269902.0,423.087373
413.35,417.23,412.4,417.05,SPY,485003.0,79484165.0,415.019896
412.35,415.42,411.77,412.9,SPY,390372.0,49771778.0,413.087327
413.67,415.1101,411.39,412.11,SPY,335700.0,50531686.0,413.388322
419.51,419.56,414.09,415.24,SPY,339152.0,51062473.0,416.913991
405.31,419.96,405.25,419.39,SPY,669022.0,105714602.0,410.671909
402.63,405.84,401.1999,402.2,SPY,490122.0,66499372.0,403.536027
398.21,404.1,396.0,403.85,SPY,610728.0,87190352.0,399.076591
395.18,401.24,395.04,399.93,SPY,504194.0,77635142.0,397.187287
396.42,396.78,390.04,392.89,SPY,597633.0,80204169.0,393.107274
392.24,401.555,390.33,400.28,SPY,641089.0,101452968.0,395.334927
390.76,394.12,388.42,393.13,SPY,559131.0,77511258.0,391.261326
397.78,398.59,390.2,390.43,SPY,489059.0,73982489.0,395.364409
400.38,400.86,394.12,395.39,SPY,553640.0,82038578.0,398.33783
406.6,407.51,402.46,402.74,SPY,483476.0,79609462.0,405.519636
410.97,411.73,408.46,408.78,SPY,491339.0,70935353.0,410.171773
393.1,403.1,391.92,401.83,SPY,794564.0,127102562.0,398.670741
394.6,396.2,391.12,394.47,SPY,542479.0,85900310.0,393.845408
390.12,395.96,388.78,392.96,SPY,609227.0,89118469.0,391.977644
385.56,386.25,382.11,384.14,SPY,671817.0,105150204.0,384.608919
388.55,388.55,382.1784,382.26,SPY,495872.0,74700086.0,386.269792
384.09,386.12,381.195,385.06,SPY,559052.0,78403121.0,384.146672
377.39,389.31,377.38,386.11,SPY,815176.0,106950971.0,383.122222
374.22,378.3,373.44,376.58,SPY,634131.0,90697405.0,375.324758
367.95,370.62,363.29,370.58,SPY,842891.0,123734270.0,367.582103
364.31,370.21,363.0299,366.41,SPY,638379.0,93929206.0,365.904994
363.38,370.4,360.87,368.02,SPY,778818.0,108682037.0,364.57861
370.53,372.3,362.6,364.38,SPY,711999.0,113902548.0,367.999651
362.79,367.11,359.7,366.81,SPY,794135.0,115299507.0,362.803733
357.18,365.91,357.04,361.8,SPY,850229.0,156959533.0,360.590178
366.61,368.55,359.21,361.08,SPY,622496.0,92907273.0,364.761157
377.97,378.0,366.5677,372.4,SPY,688743.0,107566221.0,375.79502
377.09,379.46,370.95,373.39,SPY,583909.0,89081904.0,375.469379
373.2,378.72,372.68,375.62,SPY,585050.0,84084215.0,374.874587
362.79,373.2933,360.94,368.97,SPY,667068.0,110845119.0,365.009994
360.02,364.21,357.67,363.96,SPY,597681.0,77136053.0,360.74598
357.74,363.03,355.71,358.235,SPY,694971.0,93767440.0,358.710464
356.56,359.8179,356.3,358.17,SPY,552832.0,78063648.0,357.98524
365.97,367.51,348.11,349.205,SPY,1116018.0,151012977.0,359.858164
357.63,370.26,356.96,368.55,SPY,821613.0,126393363.0,361.30065
366.82,367.9799,357.2808,364.01,SPY,613081.0,96144971.0,365.974818
371.13,375.45,367.52,375.13,SPY,678100.0,98962943.0,371.140425
368.5,371.85,365.55,368.99,SPY,534024.0,81191329.0,368.66354
365.41,372.67,364.61,368.03,SPY,637990.0,89795566.0,367.677194
374.29,374.8,363.54,365.12,SPY,720347.0,134419474.0,369.9613
378.87,380.06,373.11,375.89,SPY,627087.0,87697246.0,377.394881
384.92,385.25,378.671,378.79,SPY,599910.0,80716012.0,383.027887
382.02,387.58,381.35,381.62,SPY,659898.0,104989718.0,383.857798
379.98,385.0,379.33,383.07,SPY,602264.0,83114489.0,381.328416
389.02,389.52,379.68,379.87,SPY,597440.0,103100112.0,385.714664
386.21,388.4,385.26,386.44,SPY,593420.0,97000212.0,386.860412
384.52,390.39,383.29,390.14,SPY,542405.0,85675227.0,385.590877
374.87,388.63,374.76,383.9,SPY,896387.0,129869586.0,381.458626
371.01,374.2,368.79,371.465,SPY,642147.0,87348809.0,372.151353
376.35,378.87,370.0,377.0,SPY,704416.0,106018690.0,374.285365
379.95,380.57,375.53,377.71,SPY,479700.0,68286947.0,378.306781
382.0,385.12,377.72,381.11,SPY,602485.0,84641062.0,381.934625
374.13,381.14,373.61,379.93,SPY,595032.0,78495470.0,377.168931
394.69,395.04,385.642,388.05,SPY,963919.0,141455847.0,389.390049
398.51,399.35,393.61,395.59,SPY,650865.0,93752318.0,396.972431
395.12,400.1799,394.83,396.66,SPY,528091.0,71893165.0,397.621115
398.49,402.31,394.49,401.15,SPY,751201.0,93194452.0,398.787456
395.45,397.78,394.79,396.78,SPY,485119.0,68508454.0,396.091945
394.24,394.95,390.14,390.46,SPY,499524.0,74496255.0,392.810379
396.03,397.81,393.04,397.74,SPY,523108.0,92769313.0,395.40625
394.59,395.82,392.66,394.64,SPY,401650.0,51243189.0,394.533242
399.9,400.07,395.1527,396.63,SPY,416891.0,60429025.0,398.237458
402.42,402.93,399.31,399.55,SPY,476626.0,68261628.0,401.583806
402.33,402.91,401.535,401.83,SPY,184647.0,30545434.0,402.272977
